SKU,id,Uom,Max price,Discounted price
Mango - Safeda (Large) - Carbide Free,8226,1.1,125.3,110.3
Watermelon - Premium (Medium Tarbuj),1965,3.0,120.6,105.6
Kiwi - Green (Small) - Imported,965,3.0,96.5,86.5
Wood Apple (Bael),1637,0.8,73.5,63.5
Apple - Royal Gala (Imported) - 2 pcs,3171,0.35,144.6,129.6
Papaya (Papita),460,1.5,97.5,87.5
Mango - Totapuri (Medium) - Carbide Free,864,0.4,42.5,32.5
Cut Sugarcane Pieces,1278,0.18,45.6,35.6
Muskmelon - Netted (Large Kharbuja),4962,0.7,85.6,75.6
Apple - Washington (Imported) - 2 pcs,907,0.4,145.6,130.6
Mango - Totapuri (Large) - Carbide Free,8307,1.0,95.5,85.5
Uncut Coconut - Green (Nariyal Pani),690,2.0,143.6,128.6
Muskmelon - Madhu (Kharbuja),1733,0.7,48.7,38.7
Pineapple - Rani (Whole Ananas),1054,1.1,147.6,132.6
Banana - Dozen (6 pcs),9305,0.8,49.6,40.6
Blueberry - Imported,1510,0.13,160.6,145.6
Mango - Rasalu  (Carbide Free),11285,1.0,184.5,169.5
Pineapple Opener (Corer and Slicer),8376,0.4,120.0,95.0
Tender Coconut - Large (Nariyal Pani),1855,1.0,85.6,75.6
Sweet Lime - Greenish Yellow (Small) - 3 pcs,938,0.45,48.5,38.5
Sweet Lime - Greenish Yellow (Medium) - 3 pcs,5143,0.55,56.6,48.7
Apple - Granny Smith (Imported) - 2 pcs,1306,0.4,155.5,140.5
Muskmelon - Golden Glory (Small Kharbuja),10964,0.9,66.6,56.6
Tender Coconut,936,2.0,145.8,130.8
Mini Orange (Mandarin) - Imported (3 pcs),5121,0.3,99.8,89.8
Pear - Packham (Imported) - 2 pcs,5615,0.4,99.8,89.8
Sun Melon (Sarda),4963,1.5,154.5,139.5
Kimia Dates (Khajoor) - Imported,1178,0.45,240.6,225.6
Tender Coconut Opener,873,0.15,199.0,46.0
Uncut Coconut - Green (Nariyal Pani),3175,1.0,74.6,64.6
Figs (Anjeer),1363,0.2,200.6,185.6
Pear - Packham (Imported) - 4 pcs,905,0.8,194.8,179.8
Apricot (Dried Khubani) - Imported,930,0.2,355.0,299.0
Avocado - Hass (Butter Fruit) - Semi Ripe (Imported),1564,0.22,174.5,159.5
Sweet Tamarind (Imli) - Imported,883,0.25,140.0,115.0
Pineapple - Peeled (Ananas),3277,0.6,155.6,140.6
Fruit Gift Box - Pomegranate,6276,1.0,514.6,499.6
Green Almond (Raw Almonds),1839,0.25,169.5,154.5
