SKU,UOM,id,product_id,Max price,Discounted price
Turmeric Fresh,100 Gms,263,283,24,24
Thyme,10 Gms,1118,652,9,9
Rosemary,10 Gms,1119,653,71,71
Mom's Mini Basket,600 Gms,261,228,209,203
Mom's Basket,800 Gms,18,58,283,275
Broccoli,150-200 Gms,82,128,53,53
Broccoli Florets,250 Gms,8,48,144,144
Broccoli Florets,500 Gms,915,48,289,271
Button Mushroom,200 Gms,117,147,89,84
Button Mushroom,2 x (200 Gms),586,147,96,91
Capsicum (Yellow + Red) [Ozone-Washed],1 Pc (250 Gms),17,57,99,99
Capsicum Red [Ozone-Washed],1 Pc (125 Gms),1520,51,52,52
Capsicum Yellow [Ozone-Washed],1 Pc (125 Gms),1521,262,86,86
Chopped Capsicum,100 Gms,811,287,103,103
Chopped Capsicum,200 Gms,214,287,206,206
Chopped Capsicum,300 Gms,908,287,309,291
Chopped Red Capsicum [Ozone-Washed],200 Gms,282,268,125,125
Chopped Yellow Capsicum [Ozone-Washed],200 Gms,129,162,149,149
Lettuce Iceberg,(250-300 Gms),50,91,60,44
Cherry Tomato [Red],200 Gms,171,208,55,52
Cherry Tomato [Red],100 Gms,803,208,28,28
Cherry Tomato [Red],250 Gms,804,208,69,61
Celery,100 Gms,54,93,16,16
Celery,250 Gms,812,93,40,37
Asparagus,200 Gms,72,109,110,110
Zucchini Green [Ozone-Washed],1 Pc x (200-250 gms),41,81,81,81
Cabbage Red,1 pc (250-300 Gms),86,123,31,31
Cabbage Red,2 pc (250-300 Gms per pc),1070,123,50,47
Parsley,100 Gms,186,222,39,39
Parsley,250 Gms,813,222,98,92
Bottle Gourd,400 - 500 Gms,80,103,43,43
Tendli (Coccinia),250 Gms,97,100,24,24
Tendli (Coccinia),500 Gms,598,100,48,45
Coccinia [Julienne Cut],200 Gms,318,319,40,40
Coccinia [Julienne Cut],500 Gms,845,319,100,94
Bitter Gourd [Karela],250 Gms (2-3 pcs),1302,86,36,36
Bitter Gourd [Karela],500 Gms (3-4 Pcs),58,86,71,70
Bitter Gourd [Karela],1 Kg (6-8 pcs),589,86,143,132
Sliced Bitter Gourd (Karela),200 Gms,57,87,46,46
Sliced Bitter Gourd (Karela),500 Gms,857,87,116,109
Parval,250 Gms,198,242,37,37
Parval,500 Gms,599,242,74,70
Round Gourd [Tinda],250 Gms,777,334,27,27
Round Gourd [Tinda],500 Gms,340,334,53,50
Ridge Gourd [Turai],500 Gms,61,107,86,86
Ridge Gourd [Turai],1 Kg,768,107,173,163
Ridge Gourd [Turai],2 Kg,769,107,346,307
Sponge Gourd,500 Gms,774,126,47,44
Sliced Ash Gourd (Petha),250 Gms,671,286,79,79
Sliced Ash Gourd (Petha),500 Gms,299,286,158,146
Snake Gourd,500 Gms,62,99,77,77
Snake Gourd,1 Kg,770,99,154,146
Snake Gourd,2 Kg,771,99,309,274
Cut Snake Gourd,250 Gms,279,299,95,95
Cut Snake Gourd,500 Gms,848,299,189,178
Beans French,250 Gms,674,212,89,89
Beans French,500 Gms,178,212,177,167
Chopped French Beans,250 Gms,236,272,127,127
Chopped French Beans,500 Gms,840,272,254,239
Beans Cluster [Gawar],250 Gms,176,207,34,34
Beans Cluster [Gawar],500 Gms,764,207,68,64
Diced Cluster Beans (Guar Phali),200 Gms,229,263,48,48
Beans Cowpea [Chauli],250 Gms,177,210,33,33
